@timestamp,사고지역관리번호,사고년도,사고유형구분,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,location.lat,location.lon
,2013060,2012,스쿨존어린이,서울특별시 종로구1,서울특별시 종로구 혜화동(혜화초교 부근),2,2,0,1,1,0,37.58841291,126.9996071
,2013060,2012,스쿨존어린이,서울특별시 성북구1,서울특별시 성북구 종암동(숭례초교 부근),2,2,0,0,1,1,37.59550472,127.0357332
,2013060,2012,스쿨존어린이,서울특별시 성북구2,서울특별시 성북구 동소문동7가(정덕초교 부근),2,2,0,2,0,0,37.59757144,127.0145636
,2013060,2012,스쿨존어린이,서울특별시 성북구3,서울특별시 성북구 석관동(석관초교 부근),3,3,0,2,1,0,37.61042892,127.0595956
,2013060,2012,스쿨존어린이,서울특별시 도봉구1,서울특별시 도봉구 쌍문동(쌍문초교 부근),2,2,0,0,2,0,37.64812892,127.0244298
,2013060,2012,스쿨존어린이,서울특별시 노원구1,서울특별시 노원구 상계동(동일초교 부근),2,2,1,1,0,0,37.66443684,127.056828
,2013060,2012,스쿨존어린이,서울특별시 구로구1,서울특별시 구로구 개봉동(개봉초교 부근),2,3,0,1,0,2,37.48993952,126.8569301
,2013060,2012,스쿨존어린이,서울특별시 구로구2,서울특별시 구로구 개봉동(매봉초교 부근),2,2,0,1,1,0,37.50392059,126.8458306
,2013060,2012,스쿨존어린이,서울특별시 송파구1,서울특별시 송파구 방이동(방산초교 부근),2,2,0,0,2,0,37.50979654,127.122101
,2013097,2012,보행어린이,서울특별시 용산구1,서울특별시 용산구 한남동(순천향병원 부근),3,3,0,0,2,1,37.5332951,127.0055862
,2013097,2012,보행어린이,서울특별시 성동구1,서울특별시 성동구 행당동(무학여고앞 부근),4,5,0,0,5,0,37.55863534,127.0327244
,2013097,2012,보행어린이,서울특별시 광진구1,서울특별시 광진구 구의동(슬기유치원앞 부근),3,3,0,2,1,0,37.55223187,127.0930947
,2013097,2012,보행어린이,서울특별시 광진구2,서울특별시 광진구 광장동(광장사거리 부근),5,5,0,1,3,1,37.54433089,127.1036476
,2013097,2012,보행어린이,서울특별시 중랑구1,서울특별시 중랑구 중화동(태능시장 부근),3,3,0,0,2,1,37.59809991,127.0769334
,2013097,2012,보행어린이,서울특별시 중랑구2,서울특별시 중랑구 중화동(성은교회앞 부근),3,3,0,1,2,0,37.60301599,127.0772234
,2013097,2012,보행어린이,서울특별시 중랑구3,서울특별시 중랑구 묵동(브라운스톤태릉아파트(102동) 부근),3,3,0,1,2,0,37.6180591,127.0829619
,2013097,2012,보행어린이,서울특별시 성북구1,서울특별시 성북구 종암동(종암동 근린생활시설 부근),4,5,0,2,3,0,37.5991471,127.0339153
