"새주소","지번주소","좌표정보","좌표정보","테마코드","콘텐츠 코드","언어셋(KOR : 국문, ENG : 영문, JP : 일문, CHA : 중문-간체, CHB : 중문-번체)","콘텐츠 명","시도명(텍스트)","구명","동명","산지여부","주 번지","부 번지","기타주소","전화번호","상세정보 값 1","상세정보 값 2","상세정보 값 3","상세정보 값 4","상세정보 값 5","상세정보 값 6","상세정보 값 7","상세정보 값 8","상세정보 값 9","상세정보 값 10","상세정보 값 11","상세정보 값 12","상세정보 값 13","상세정보 값 14","상세정보 값 15","상세정보 값 16","상세정보 값 17","상세정보 값 18","상세정보 값 19","상세정보 값 20","상세정보 이름 1","상세정보 이름 2","상세정보 이름 3","상세정보 이름 4","상세정보 이름 5","상세정보 이름 6","상세정보 이름 7","상세정보 이름 8","상세정보 이름 9","상세정보 이름 10","상세정보 이름 11","상세정보 이름 12","상세정보 이름 13","상세정보 이름 14","상세정보 이름 15","상세정보 이름 16","상세정보 이름 17","상세정보 이름 18","상세정보 이름 19","상세정보 이름 20","좌표데이터","좌표 타입 (1:Point 3:Polyline 4:MultiPolyline 5:Polygon 6:MultiPolygon 8:multiPoint)","선 두께 1~10","테마 선 색상","키워드","등록일","수정일"
"","","","","100235","AR000077","KOR","7호선 청담역13번출구","","강남구","","","","","","","수동식","","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:11.0","2016-12-06 15:20:11.0"
"","","","","100235","AR000147","KOR","방화역(3번 출구)","","강서구","","","","","","","자동식","3번 출구","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:10.0","2016-12-06 15:20:10.0"
"","","","","100235","AR000148","KOR","암사역(1번 출구)","","강동구","","","","","","","자동식","1번 출구","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:10.0","2016-12-06 15:20:10.0"
"","","","","100235","AR000149","KOR","둔촌동역(1번 출구)","","강동구","","","","","","","자동식","1번 출구","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:10.0","2016-12-06 15:20:10.0"
"","","","","100235","AR000150","KOR","굽은다리역(1번 출구)","","강동구","","","","","","","자동식","1번 출구","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:10.0","2016-12-06 15:20:10.0"
"","","","","100235","AR000151","KOR","상일동역(2번 출구)","","강동구","","","","","","","자동식","2번 출구","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:10.0","2016-12-06 15:20:10.0"
"","","","","100235","AR000152","KOR","강동역(4번 출구)","","강동구","","","","","","","자동식","4번 출구","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:10.0","2016-12-06 15:20:10.0"
"","","","","100235","AR000153","KOR","길동역(3번 출구)","","강동구","","","","","","","자동식","3번 출구","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:10.0","2016-12-06 15:20:10.0"
"","","","","100235","AR000154","KOR","명일역(4번 출구)","","강동구","","","","","","","자동식","4번 출구","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:10.0","2016-12-06 15:20:10.0"
"","","","","100235","AR000155","KOR","상일동역(1번 출구)","","강동구","","","","","","","자동식","1번 출구","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:10.0","2016-12-06 15:20:10.0"
"","","","","100235","AR000156","KOR","금천구청역광장","","금천구","","","","","","","자동식","금천구청역 광장","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:10.0","2016-12-06 15:20:10.0"
"","","","","100235","AR000157","KOR","가산디지털단지역(5~6번 출구 사이)","","금천구","","","","","","","자동식","5~6번 출구 사이","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:10.0","2016-12-06 15:20:10.0"
"오금로 505","송파구 거여동 37-10","127.144669000","37.493112000","100235","AR000001","KOR","5호선 거여역(248번 출구)","","송파구","거여동","","37","10","","","수동식/자동식","2번 4번 8번 출구 앞","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:13.0","2016-12-06 15:20:13.0"
"올림픽로 383","송파구 신천동 20-8","127.112204000","37.517560000","100235","AR000002","KOR","8호선 몽촌토성역(234번 출구)","","송파구","신천동","","20","8","","","수동식/자동식","2번 3번 4번 출구 앞","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:13.0","2016-12-06 15:20:13.0"
"","","127.099801000","37.514223000","100235","AR000003","KOR","2호선 잠실역(237번 출구)","","송파구","","","","","","","수동식/자동식","2번 3번 7번 출구 앞","","","","","","","","","","","","","","","","","","","구분","세부장소","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2016-12-06 15:20:13.0","2016-12-06 15:20:13.0"
