기간	대분류	분류	합계	이동 수단으로 이용	운동 수단으로 이용	이용하지 않음
2018	서울시	서울시	100	5.5	14.9	79.7
2018	성별	남자	100	6.9	19.9	73.2
2018	성별	여자	100	4.2	10.1	85.7
2018	연령별	10대	100	12	25.1	62.9
2018	연령별	20대	100	6.1	20.7	73.2
2018	연령별	30대	100	4.3	17.6	78.1
2018	연령별	40대	100	6.2	15.9	77.9
2018	연령별	50대	100	4.6	12.5	82.9
2018	연령별	60대 이상	100	4.4	6.7	88.9
2018	학력별	중졸 이하	100	3.8	5	91.2
2018	학력별	고졸 이하	100	6.4	11.9	81.7
2018	학력별	대졸 이하	100	5.3	18.4	76.3
2018	학력별	대학원 이상	100	6.8	25.5	67.7
2018	소득별	100만원 미만	100	5.8	6.4	87.7
2018	소득별	100-200만원 미만	100	5.2	7.1	87.8
2018	소득별	200-300만원 미만	100	4.5	11.9	83.6
2018	소득별	300-400만원 미만	100	5.6	14.2	80.2
2018	소득별	400-500만원 미만	100	5.7	16.2	78.1
2018	소득별	500만원 이상	100	5.7	17.6	76.8
2018	혼인상태별	기혼	100	5.1	13.2	81.7
2018	혼인상태별	미혼	100	7.2	21.3	71.5
2018	혼인상태별	이혼/별거	100	3.7	9.9	86.4
2018	혼인상태별	사별	100	2.6	4.3	93.1
2018	지역대분류	도심권	100	3.8	10.6	85.6
2018	지역대분류	동북권	100	5.8	13.4	80.8
2018	지역대분류	서북권	100	4.5	14.9	80.6
2018	지역대분류	서남권	100	6.3	17.2	76.5
2018	지역대분류	동남권	100	4.8	14.6	80.7
2018	종로구	종로구	100	2.3	14	83.7
2018	중구	중구	100	4.9	7.3	87.8
2018	용산구	용산구	100	4.2	10.2	85.6
2018	성동구	성동구	100	5.8	13.7	80.5
2018	광진구	광진구	100	6.4	19.1	74.5
2018	동대문구	동대문구	100	9.2	10.2	80.5
2018	중랑구	중랑구	100	3.7	16.8	79.5
2018	성북구	성북구	100	7.2	13.6	79.2
2018	강북구	강북구	100	4.9	7.5	87.6
2018	도봉구	도봉구	100	3.3	10	86.7
2018	노원구	노원구	100	5.3	14.5	80.2
2018	은평구	은평구	100	2.9	14.7	82.4
2018	서대문구	서대문구	100	4.2	13.5	82.3
2018	마포구	마포구	100	6.7	16.4	76.8
2018	양천구	양천구	100	18.3	26.8	54.9
2018	강서구	강서구	100	1.9	14.7	83.4
2018	구로구	구로구	100	3.7	6.2	90.1
2018	금천구	금천구	100	4.2	9.2	86.6
2018	영등포구	영등포구	100	11.4	25	63.5
2018	동작구	동작구	100	2.6	11.8	85.6
2018	관악구	관악구	100	3.5	23	73.5
2018	서초구	서초구	100	5.4	15.3	79.3
2018	강남구	강남구	100	2.8	9.6	87.7
2018	송파구	송파구	100	7.3	23.2	69.4
2018	강동구	강동구	100	2.9	7.2	90
