이용하지 않음,기간,분류,운동 수단으로 이용,이동 수단으로 이용
79.7,2018,서울시,14.9,5.5
85.6,2018,지역_도심권,10.6,3.8
80.8,2018,지역_동북권,13.4,5.8
80.6,2018,지역_서북권,14.9,4.5
76.5,2018,지역_서남권,17.2,6.3
80.7,2018,지역_동남권,14.6,4.8
83.7,2018,종로구,14,2.3
87.8,2018,중구,7.3,4.9
85.6,2018,용산구,10.2,4.2
80.5,2018,성동구,13.7,5.8
74.5,2018,광진구,19.1,6.4
80.5,2018,동대문구,10.2,9.2
79.5,2018,중랑구,16.8,3.7
79.2,2018,성북구,13.6,7.2
87.6,2018,강북구,7.5,4.9
86.7,2018,도봉구,10,3.3
80.2,2018,노원구,14.5,5.3
82.4,2018,은평구,14.7,2.9
82.3,2018,서대문구,13.5,4.2
76.8,2018,마포구,16.4,6.7
54.9,2018,양천구,26.8,18.3
83.4,2018,강서구,14.7,1.9
90.1,2018,구로구,6.2,3.7
86.6,2018,금천구,9.2,4.2
63.5,2018,영등포구,25,11.4
85.6,2018,동작구,11.8,2.6
73.5,2018,관악구,23,3.5
79.3,2018,서초구,15.3,5.4
87.7,2018,강남구,9.6,2.8
69.4,2018,송파구,23.2,7.3
90,2018,강동구,7.2,2.9
